fpr,tpr,threshold
0.0,0.0,inf
0.01639344262295082,0.0,0.49441787600517273
0.03278688524590164,0.0,0.4932063817977905
0.03278688524590164,0.014925373134328358,0.4925498068332672
0.08196721311475409,0.014925373134328358,0.49186408519744873
0.08196721311475409,0.04477611940298507,0.49166446924209595
0.09836065573770492,0.04477611940298507,0.4916362762451172
0.09836065573770492,0.13432835820895522,0.4905811548233032
0.11475409836065574,0.13432835820895522,0.4904968738555908
0.11475409836065574,0.14925373134328357,0.49049463868141174
0.13114754098360656,0.14925373134328357,0.49047204852104187
0.13114754098360656,0.208955223880597,0.4902014136314392
0.14754098360655737,0.208955223880597,0.48989206552505493
0.14754098360655737,0.22388059701492538,0.48988670110702515
0.16393442622950818,0.22388059701492538,0.48985031247138977
0.16393442622950818,0.2537313432835821,0.4897746741771698
0.21311475409836064,0.2537313432835821,0.4894985556602478
0.21311475409836064,0.26865671641791045,0.48926836252212524
0.26229508196721313,0.26865671641791045,0.48914533853530884
0.26229508196721313,0.2835820895522388,0.48914432525634766
0.2786885245901639,0.2835820895522388,0.48910725116729736
0.2786885245901639,0.29850746268656714,0.4890795350074768
0.3114754098360656,0.29850746268656714,0.4888661205768585
0.3114754098360656,0.3582089552238806,0.4885440468788147
0.32786885245901637,0.3582089552238806,0.48842713236808777
0.32786885245901637,0.40298507462686567,0.48836132884025574
0.3442622950819672,0.40298507462686567,0.4883524477481842
0.3442622950819672,0.47761194029850745,0.48816171288490295
0.39344262295081966,0.47761194029850745,0.48809707164764404
0.39344262295081966,0.5671641791044776,0.48752427101135254
0.4098360655737705,0.5671641791044776,0.48749998211860657
0.4098360655737705,0.5970149253731343,0.4874744117259979
0.45901639344262296,0.5970149253731343,0.48731330037117004
0.45901639344262296,0.6417910447761194,0.48710519075393677
0.5081967213114754,0.6417910447761194,0.48682883381843567
0.5081967213114754,0.7014925373134329,0.4866673946380615
0.5245901639344263,0.7014925373134329,0.48665371537208557
0.5245901639344263,0.7164179104477612,0.4865041971206665
0.639344262295082,0.7164179104477612,0.486079603433609
0.639344262295082,0.7313432835820896,0.4860670864582062
0.6721311475409836,0.7313432835820896,0.48591700196266174
0.6721311475409836,0.7611940298507462,0.4858497083187103
0.7049180327868853,0.7611940298507462,0.48565375804901123
0.7049180327868853,0.7761194029850746,0.485586553812027
0.7213114754098361,0.7761194029850746,0.4855179786682129
0.7213114754098361,0.8059701492537313,0.48531031608581543
0.7704918032786885,0.8059701492537313,0.4850783944129944
0.7704918032786885,0.835820895522388,0.485042929649353
0.7868852459016393,0.835820895522388,0.4848354756832123
0.7868852459016393,0.8507462686567164,0.484748512506485
0.8032786885245902,0.8507462686567164,0.4847469627857208
0.8032786885245902,0.8805970149253731,0.48461052775382996
0.819672131147541,0.8805970149253731,0.48459893465042114
0.819672131147541,0.9104477611940298,0.48445960879325867
0.8688524590163934,0.9104477611940298,0.48419663310050964
0.8688524590163934,0.9402985074626866,0.48382866382598877
0.9344262295081968,0.9402985074626866,0.48356160521507263
0.9344262295081968,0.9552238805970149,0.48342493176460266
0.9836065573770492,0.9552238805970149,0.4823206663131714
0.9836065573770492,0.9850746268656716,0.48217862844467163
1.0,0.9850746268656716,0.4817977845668793
1.0,1.0,0.48130106925964355
