fpr,tpr,threshold
0.0,0.0,inf
0.0007631645891630628,0.7205882352941176,1.0
0.0007631645891630628,0.75,0.99951171875
0.0007631645891630628,0.7647058823529411,0.998046875
0.0007631645891630628,0.7720588235294118,0.99755859375
0.0007631645891630628,0.7867647058823529,0.9970703125
0.0007631645891630628,0.7941176470588235,0.99609375
0.0010175527855507504,0.8088235294117647,0.9951171875
0.0010175527855507504,0.8382352941176471,0.83056640625
0.004578987534978377,0.8382352941176471,0.361328125
0.004578987534978377,0.8455882352941176,0.32763671875
0.005596540320529127,0.8455882352941176,0.2242431640625
0.005596540320529127,0.8529411764705882,0.222412109375
0.006868481302467566,0.8529411764705882,0.1754150390625
0.00737725769524294,0.8529411764705882,0.1650390625
0.009412363266344441,0.8529411764705882,0.110107421875
0.009921139659119817,0.8529411764705882,0.10931396484375
0.01602645637242432,0.8529411764705882,0.06671142578125
0.01602645637242432,0.8602941176470589,0.06634521484375
0.016535232765199696,0.8602941176470589,0.06597900390625
0.017552785550750447,0.8602941176470589,0.06243896484375
0.01806156194352582,0.8602941176470589,0.061981201171875
0.02442126685321801,0.8602941176470589,0.042327880859375
0.02543881963876876,0.8602941176470589,0.03948974609375
0.027473925209870263,0.8602941176470589,0.0369873046875
0.027982701602645637,0.8602941176470589,0.0364990234375
0.029000254388196388,0.8602941176470589,0.03424072265625
0.029000254388196388,0.8676470588235294,0.0341796875
0.02950903078097176,0.8676470588235294,0.03326416015625
0.02950903078097176,0.875,0.03228759765625
0.0328160773340117,0.875,0.0266571044921875
0.033324853726787076,0.875,0.026458740234375
0.033324853726787076,0.8823529411764706,0.0263519287109375
0.03510557110150089,0.8823529411764706,0.02484130859375
0.03561434749427626,0.8823529411764706,0.0247955322265625
0.03663190027982702,0.8823529411764706,0.02386474609375
0.03663190027982702,0.8897058823529411,0.0238189697265625
0.040193335029254644,0.8897058823529411,0.0204925537109375
0.04044772322564233,0.8970588235294118,0.020416259765625
0.041974052403968454,0.8970588235294118,0.0187225341796875
0.041974052403968454,0.9044117647058824,0.01861572265625
0.04248282879674383,0.9044117647058824,0.0177764892578125
0.04299160518951921,0.9044117647058824,0.01751708984375
0.04324599338590689,0.9044117647058824,0.0174407958984375
0.04477232256423302,0.9044117647058824,0.0162811279296875
0.046553039938946834,0.9044117647058824,0.01483917236328125
0.047061816331722205,0.9044117647058824,0.01467132568359375
0.047824980920885274,0.9044117647058824,0.01433563232421875
0.048333757313660644,0.9044117647058824,0.0141754150390625
0.05011447468837446,0.9044117647058824,0.0135345458984375
0.05113202747392521,0.9044117647058824,0.01312255859375
0.051640803866700585,0.9044117647058824,0.0129241943359375
0.05240396845586365,0.9044117647058824,0.01287078857421875
0.052912744848639025,0.9044117647058824,0.01262664794921875
0.05367590943780209,0.9044117647058824,0.01214599609375
0.05443907402696515,0.9044117647058824,0.0121002197265625
0.054947850419740527,0.9044117647058824,0.011962890625
0.055965403205291274,0.9044117647058824,0.01142120361328125
0.05647417959806665,0.9044117647058824,0.01132965087890625
0.0574917323836174,0.9044117647058824,0.01085662841796875
0.058000508776392776,0.9044117647058824,0.0108184814453125
0.05825489697278046,0.9044117647058824,0.01078033447265625
0.059272449758331215,0.9044117647058824,0.010528564453125
0.06003561434749428,0.9044117647058824,0.01036834716796875
0.060544390740269655,0.9044117647058824,0.0103302001953125
0.06130755532943272,0.9044117647058824,0.0101318359375
0.06181633172220809,0.9044117647058824,0.0100555419921875
0.0656321546680234,0.9044117647058824,0.00847625732421875
0.06614093106079878,0.9044117647058824,0.00841522216796875
0.06766726023912491,0.9044117647058824,0.00803375244140625
0.06817603663190028,0.9044117647058824,0.007965087890625
0.06843042482828797,0.9044117647058824,0.0078125
0.06893920122106334,0.9044117647058824,0.007488250732421875
0.0697023658102264,0.9044117647058824,0.007404327392578125
0.07071991859577716,0.9044117647058824,0.00734710693359375
0.07097430679216485,0.9044117647058824,0.007175445556640625
0.07122869498855253,0.9117647058823529,0.007122039794921875
0.07173747138132791,0.9117647058823529,0.0070953369140625
0.07275502416687865,0.9117647058823529,0.006771087646484375
0.07351818875604171,0.9117647058823529,0.00646209716796875
0.0740269651488171,0.9117647058823529,0.006290435791015625
0.07453574154159247,0.9117647058823529,0.0062408447265625
0.07555329432714322,0.9117647058823529,0.00609588623046875
0.07606207071991859,0.9117647058823529,0.006072998046875
0.07631645891630628,0.9117647058823529,0.00600433349609375
0.07682523530908165,0.9117647058823529,0.00595855712890625
0.07758839989824472,0.9117647058823529,0.0058441162109375
0.0780971762910201,0.9117647058823529,0.0057525634765625
0.07835156448740778,0.9117647058823529,0.00572967529296875
0.07886034088018316,0.9117647058823529,0.005687713623046875
0.07911472907657084,0.9117647058823529,0.005641937255859375
0.07911472907657084,0.9191176470588235,0.005619049072265625
0.08114983464767235,0.9191176470588235,0.005218505859375
0.08191299923683541,0.9191176470588235,0.00518035888671875
0.08318494021877385,0.9191176470588235,0.00494384765625
0.08369371661154923,0.9191176470588235,0.00490570068359375
